date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:53:20	242/242	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Sep%202020%2015:23:19%20GMT	http://catalog.wlimg.com/templates-images/12569/12572/fancy-close.png	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/templates-images/12569/12572/fancy-close.png	(from https://catalog.wlimg.com/templates-images/12569/12572/catalog.css)
20:53:20	219/219	---M--	504	error ('Connection%20Timed%20Out')	text/html	date:Mon,%2007%20Sep%202020%2015:06:16%20GMT	http://catalog.wlimg.com/templates-images/12569/12572/pi-icons/labour-cont.png	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/templates-images/12569/12572/pi-icons/labour-cont.png	(from https://catalog.wlimg.com/templates-images/12569/12572/catalog.css)
20:53:25	24340/24340	---M--	200	added ('OK')	image/png	etag:%225f14-564ac48e9fd00%22	http://catalog.wlimg.com/templates-images/12569/12572/pi-icons/adv-mdm.png	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/templates-images/12569/12572/pi-icons/adv-mdm.png	(from https://catalog.wlimg.com/templates-images/12569/12572/catalog.css)
20:53:25	24808/24808	---M--	200	added ('OK')	image/png	etag:%2260e8-564ac486feb00%22	http://catalog.wlimg.com/templates-images/12569/12572/pi-icons/automobile.png	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/templates-images/12569/12572/pi-icons/automobile.png	(from https://catalog.wlimg.com/templates-images/12569/12572/catalog.css)
20:53:26	97509/97509	---M--	200	added ('OK')	image/png	etag:%2217ce5-56aab28fa56c0%22	http://catalog.wlimg.com/templates-images/12569/12572/bg_image.png	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/templates-images/12569/12572/bg_image.png	(from https://catalog.wlimg.com/templates-images/12569/12572/catalog.css)
20:53:29	18652/18652	---M--	200	added ('OK')	image/png	etag:%2248dc-564ac47f5d900%22	http://catalog.wlimg.com/templates-images/12569/12572/pi-icons/PR-energy.png	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/templates-images/12569/12572/pi-icons/PR-energy.png	(from https://catalog.wlimg.com/templates-images/12569/12572/catalog.css)
20:53:32	36687/36687	---M--	200	added ('OK')	image/png	etag:%228f4f-564ac487f2d40%22	http://catalog.wlimg.com/templates-images/12569/12572/pi-icons/domes-plac.png	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/templates-images/12569/12572/pi-icons/domes-plac.png	(from https://catalog.wlimg.com/templates-images/12569/12572/catalog.css)
20:53:32	25708/25708	---M--	200	added ('OK')	image/png	etag:%22646c-564ac47b8d000%22	http://catalog.wlimg.com/templates-images/12569/12572/pi-icons/staff-sol.png	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/templates-images/12569/12572/pi-icons/staff-sol.png	(from https://catalog.wlimg.com/templates-images/12569/12572/catalog.css)
20:53:34	26338/26338	---M--	200	added ('OK')	image/png	etag:%2266e2-59c9f7e350828%22	http://catalog.wlimg.com/templates-images/12569/12572/pi-icons/labour-cont.png	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/templates-images/12569/12572/pi-icons/labour-cont.png	(from https://catalog.wlimg.com/templates-images/12569/12572/catalog.css)
20:53:42	367171/367171	---M--	200	added ('OK')	image/jpeg	etag:%2259a43-56552a83f5600%22	http://catalog.wlimg.com/templates-images/12569/12572/bg-rei2.jpg	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/templates-images/12569/12572/bg-rei2.jpg	(from https://catalog.wlimg.com/templates-images/12569/12572/catalog.css)
20:53:54	166387/166387	---M--	200	added ('OK')	image/jpeg	etag:%22289f3-5638503f8f200%22	http://catalog.wlimg.com/templates-images/12569/12572/ttw-contact2.jpg	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/templates-images/12569/12572/ttw-contact2.jpg	(from https://catalog.wlimg.com/templates-images/12569/12572/catalog.css)
